id,text,category,author
1,"The quick brown fox jumps over the lazy dog.","animals", "unknown"
2,"Artificial intelligence is rapidly transforming various industries.","technology", "AI Today"
3,"Pineapple on pizza is a controversial topic.","food", "Foodie Weekly"
4,"Climate change requires urgent global cooperation.","environment", "Eco News"
5,"Learning a new programming language can be challenging but rewarding.","education", "Dev Journal"
6,"The history of ancient Rome is fascinating, with emperors and legions.","history", "Historian Monthly"
7,"Exploring distant galaxies reveals wonders of the universe.","science", "Cosmos Digest"
8,"Meditation and mindfulness can improve mental well-being.","health", "Wellness Guide"
9,"Financial literacy is crucial for personal economic stability.","finance", "Money Matters"
10,"The latest advancements in quantum computing are promising.","technology", "Quantum Leap"
11,"Sustainable farming practices help protect the environment.","environment", "Green Future"
12,"Debates about the best pizza toppings are never-ending.","food", "Pizza Lovers United" 
